rank,est. tickets,movieName,year,DW,CJH,DJ,LAK,SW,LR,GP,MN,ZBP,AH ,Max Breslin,IA,LTM,AHT,EG,WR,FM,KX,MS,sc,AP,,,,,,,,,,,,,,,,
1,"202,286,200",Gone with the Wind,1939,8,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,4,-1000,-1000,-1000,-1000,-1000,-1000,-1000,,,,,,,,,,,,,,,,
2,"178,119,500",Star Wars,1977,9,8,8,10,6,9,9,9,7,7,8,9,10,8,9,-1000,9,9,8,9,8,,,,,,,,,,,,,,,,
3,"142,485,200",The Sound of Music,1965,7,-1000,-1000,-1000,-1000,-1000,6,-1000,-1000,-1000,-1000,-1000,-1000,7,6,-1000,-1000,-1000,-1000,-1000,8,,,,,,,,,,,,,,,,
4,"141,854,300",E.T. the Extra-Terrestrial,1982,7,6,-1000,-1000,-1000,6,-1000,-1000,7,-1000,6,-1000,10,4,1,-1000,7,9,4,-1000,-1000,,,,,,,,,,,,,,,,
5,"135,549,800",Titanic,1997,7,-1000,4,-1000,8,-1000,-1000,-1000,-1000,5,6,-1000,9,5,7,-1000,-1000,-1000,-1000,-1000,8,,,,,,,,,,,,,,,,
6,"131,000,000",The Ten Commandments,1956,7,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,7,,,,,,,,,,,,,,,,
7,"128,078,800",Jaws,1975,8,-1000,-1000,-1000,-1000,-1000,-1000,-1000,8,-1000,7,-1000,9,-1000,6,-1000,-1000,-1000,-1000,-1000,7,,,,,,,,,,,,,,,,
10,"109,000,000",Snow White and the Seven Dwarfs,1937,-1000,4,-1000,-1000,8,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,7,3,-1000,-1000,-1000,-1000,6,6,,,,,,,,,,,,,,,,
11,"108,115,100",Star Wars: The Force Awakens,2015,-1000,8,-1000,3,8,6,4,6,7,-1000,8,7,3,8,8,-1000,5,7,1,7,8,,,,,,,,,,,,,,,,
12,"99,917,300",One Hundred and One Dalmatians,1961,-1000,4,-1000,-1000,7,-1000,-1000,-1000,6,-1000,-1000,-1000,-1000,7,5,-1000,-1000,-1000,5,6,8,,,,,,,,,,,,,,,,
13,"98,105,100",The Empire Strikes Back,1980,-1000,8,-1000,7,-1000,8,8,9,7,-1000,8,9,10,-8,10,-1000,9,8,9,9,5,,,,,,,,,,,,,,,,
